079d87e5-ff25-4de0-949f-a487788b9ef4;Js;12;dd;12.0;CPUfan
bef18948-2e2d-42ed-b596-a64b74feb3c0;Kabtest;5;Kabmerke;500.0;Kabinett
8e3484aa-5e0e-45a9-a9e2-91d1d4f65f13;CaseTest;5;CaseMerke;600.0;Casemods
732b22c8-dafc-4bc4-86c4-787e3ae09b7d;HDTest;12;HDmerke;400.0;Harddrive
c866cd76-5718-4ff7-8443-66e347f4e186;HeadsetTest;1;HSMerke;400.0;Headset
e0951b20-ca89-4225-976f-1ab8fa400bee;MCTest;6;MCMerke;800.0;Maincard
79fcf7f5-2e7f-4d12-a369-57170b1bf96e;MemoryTest;5;MMerke;800.0;Memory
aecb7080-3025-4463-8d09-f7ea2f7c79be;MouseTest;6;MusMerke;900.0;Mouse
db1651f4-52e9-4e0e-9bfe-a96e27fa0807;ProTest;1;ProMerke;750.0;Processor
5f26318c-b0b8-469e-8482-70fdcebdc492;ScreenTest;400;ScreenMerke;850.0;Screen
3330a535-9694-4259-8f13-8a4344f7e9f7;PowerTest;12;Pmerke;650.0;Powersupply
75963dd7-5055-4dac-9a40-2c0394d7faa2;KeyboardTest;1;KeyMerke;750.0;Keyboard
b8425643-48e2-4970-8228-9579109dfc71;FanTest;5;FanMerke;839.0;Fans
b10695a8-e91d-43ab-830b-e7d3c3334d2a;VCTest;12;Merke;989.0;Videocard
a06a9647-d5a3-4ad1-86c5-3f6e0f052ad6;CPUtest2;5;Merke;1000.0;CPUfan
